"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"321","Western Ky.",111,1510,414,3446,0.318,0.438189204875218,0.120139291932676,29,4,0.879,0.078,0.097
"322","Western Mich.",115,1604,577,4368,0.235,0.367216117216117,0.13209706959707,17,13,0.567,0.062,0.072
"323","Wichita St.",121,1502,552,4206,0.226,0.357108892058963,0.131241084165478,18,13,0.581,0.057,0.097
"324","William & Mary",102,1281,553,3493,0.208,0.366733466933868,0.158316633266533,12,14,0.462,0.058,0.076
"325","Winthrop",101,1282,536,3682,0.203,0.348180336773493,0.145573058120587,16,12,0.571,0.065,0.074
"326","Wisconsin",116,1537,501,3884,0.267,0.39572605561277,0.128990731204943,28,4,0.875,0.07,0.096
"327","Wofford",113,1470,561,4031,0.226,0.364673778218804,0.139171421483503,16,13,0.552,0.066,0.088
"328","Wright St.",119,1596,607,4408,0.224,0.362068965517241,0.137704174228675,28,4,0.875,0.068,0.079
"329","Wyoming",120,1452,594,3909,0.219,0.37145049884881,0.151957022256332,10,20,0.333,0.057,0.124
"330","Xavier",130,1713,583,4669,0.242,0.366887984579139,0.124866138359392,21,12,0.636,0.049,0.058
"331","Yale",93,1293,497,3291,0.242,0.392889699179581,0.151017927681556,23,3,0.885,0.094,0.12
"332","Youngstown St.",118,1473,602,4037,0.216,0.36487490710924,0.149120634134258,14,16,0.467,0.069,0.113
