"","Team","S","Kills","Errors","Total.Attacks","Hitting.Pct.","X","Y","Wins","Losses","Win.Pct","Ace.Pct","Serving.Error.Pct"
"248","Upper Iowa",100,1200,511,3769,0.183,0.318386840010613,0.135579729371186,14,13,0.519,0.075,0.085
"249","Ursuline",96,945,709,3164,0.075,0.298672566371681,0.224083438685209,3,25,0.107,0.078,0.087
"250","USC Aiken",128,1611,820,4835,0.164,0.333195449844881,0.169596690796277,19,14,0.576,0.085,0.09
"251","UT Tyler",106,1420,590,3922,0.212,0.362060173380928,0.150433452320245,20,10,0.667,0.061,0.064
"252","UVA Wise",77,804,509,2744,0.108,0.293002915451895,0.185495626822157,6,18,0.25,0.04,0.04
"253","Valdosta St.",119,1299,679,4013,0.154,0.32369798155993,0.169200099676053,14,19,0.424,0.097,0.107
"254","Virginia St.",116,1180,645,3521,0.152,0.335132064754331,0.18318659471741,15,16,0.484,NA,NA
"255","Virginia Union",84,836,471,2597,0.141,0.321909896033885,0.181363111282249,12,12,0.5,0.023,0.159
"256","Walsh",111,1418,518,3944,0.228,0.359533468559838,0.131338742393509,16,12,0.571,0.051,0.077
"257","Washburn",123,1701,604,4863,0.226,0.349784083898828,0.124203166769484,24,8,0.75,0.063,0.066
"258","Wayne St. (MI)",111,1354,588,3923,0.195,0.345144022431812,0.149885291868468,19,11,0.633,0.065,0.079
"259","Wayne St. (NE)",116,1536,361,4151,0.283,0.370031317754758,0.0869669959046013,30,3,0.909,0.062,0.062
"260","West Ala.",107,969,653,3385,0.093,0.286262924667651,0.192909896602659,6,25,0.194,0.107,0.148
"261","West Chester",111,1306,579,3708,0.196,0.352211434735707,0.156148867313916,20,11,0.645,NA,NA
"262","West Florida",123,1710,589,4116,0.272,0.415451895043732,0.14310009718173,28,6,0.824,0.058,0.072
"263","West Ga.",120,1296,656,4187,0.153,0.309529496059231,0.156675423931216,12,20,0.375,0.077,0.087
"264","West Liberty",122,1515,659,4673,0.183,0.324202867536914,0.141022897496255,21,13,0.618,0.055,0.111
"265","West Tex. A&M",128,1816,601,4613,0.263,0.393670062865814,0.130283980056362,33,4,0.892,0.064,0.061
"266","West Va. Wesleyan",110,1109,755,3547,0.1,0.312658584719481,0.212855934592613,7,23,0.233,0.127,0.016
"267","West Virginia St.",105,1439,541,3714,0.242,0.387452880990845,0.145665051157781,25,6,0.806,0.081,0.054
"268","Western Colo.",89,989,539,3056,0.147,0.323625654450262,0.176374345549738,4,21,0.16,0.061,0.123
"269","Western N.M.",101,1083,635,3608,0.124,0.300166297117517,0.1759977827051,3,25,0.107,0.063,0.104
"270","Western Ore.",98,1197,573,3430,0.182,0.348979591836735,0.167055393586006,9,17,0.346,0.066,0.097
"271","Western Wash.",100,1314,460,3505,0.244,0.374893009985735,0.131241084165478,21,6,0.778,0.063,0.075
"272","Westminster (UT)",91,1009,462,3246,0.169,0.310844115834874,0.142329020332717,6,20,0.231,0.069,0.084
"273","Wheeling",122,1724,467,4306,0.292,0.400371574547144,0.108453320947515,28,8,0.778,NA,NA
"274","William Jewell",109,1339,576,3974,0.192,0.336940110719678,0.144942123804731,13,15,0.464,0.051,0.039
"275","Wilmington (DE)",114,1301,538,4011,0.19,0.324358015457492,0.134131139366741,16,15,0.516,0.086,0.086
"276","Wingate",119,1651,503,4070,0.282,0.405651105651106,0.123587223587224,32,3,0.914,0.096,0.065
"277","Winona St.",95,1200,548,3567,0.183,0.336417157275021,0.15363050182226,12,15,0.444,0.077,0.101
"278","Winston-Salem",100,1000,583,3161,0.132,0.316355583676052,0.184435305283138,14,15,0.483,NA,NA
"279","Wis.-Parkside",112,1214,541,3816,0.176,0.318134171907757,0.141771488469602,9,20,0.31,0.092,0.102
"280","Young Harris",108,979,632,3460,0.1,0.282947976878613,0.182658959537572,3,28,0.097,0.093,0.111
